"symbol","total_prices","stock_from_date","stock_to_date","total_earnings","earnings_from_date","earnings_to_date"
"KRA","2431","2009-12-17","2019-08-15","39","2010-03-03","2019-07-24"
"KRC","5440","1998-01-02","2019-08-15","41","2009-07-27","2019-07-24"
"KREF","574","2017-05-05","2019-08-15","10","2017-06-14","2019-08-01"
"KRG","3780","2004-08-11","2019-08-15","41","2009-05-07","2019-05-06"
"KRMA","771","2016-07-12","2019-08-02","0","NULL","NULL"
"KRNT","1092","2015-04-02","2019-08-02","18","2015-05-06","2019-08-06"
"KRNY","3635","2005-02-24","2019-08-02","42","2009-04-30","2019-07-30"
"KRO","3948","2003-12-09","2019-08-15","41","2009-05-06","2019-08-07"
"KRP","637","2017-02-03","2019-08-15","9","2017-08-10","2019-08-08"
"KRYS","470","2017-09-20","2019-08-02","7","2017-11-13","2019-08-05"
"KS","3342","2005-09-14","2019-05-01","0","NULL","NULL"
"KSM","5440","1998-01-02","2019-08-15","0","NULL","NULL"
"KSS","5440","1998-01-02","2019-08-15","42","2009-05-14","2019-08-20"
"KST","4767","2000-01-03","2018-12-14","0","NULL","NULL"
"KSU","5440","1998-01-02","2019-08-15","41","2009-07-30","2019-07-19"
"KT","5089","1999-05-26","2019-08-15","3","2010-01-29","2012-05-07"
"KTB","63","2019-05-09","2019-08-08","1","2019-08-08","2019-08-08"
"KTCC","5431","1998-01-02","2019-08-02","41","2009-08-18","2019-08-06"
"KTEC","4584","2000-01-03","2018-04-27","0","NULL","NULL"
"KTF","5440","1998-01-02","2019-08-15","0","NULL","NULL"
"KTH","4656","2001-02-12","2019-08-15","0","NULL","NULL"
"KTN","3950","2003-12-04","2019-08-15","0","NULL","NULL"
"KTOS","4966","1999-11-05","2019-08-02","42","2009-05-12","2019-07-31"
"KTOV","930","2015-11-20","2019-08-02","0","NULL","NULL"
"KTOVW","863","2015-11-20","2019-07-30","0","NULL","NULL"
"KTP","5062","1999-07-06","2019-08-15","0","NULL","NULL"
"KTWO","1138","2014-05-08","2018-11-09","0","NULL","NULL"
"KURA","941","2015-11-05","2019-08-02","16","2015-11-13","2019-08-01"
"KVHI","5431","1998-01-02","2019-08-02","41","2009-07-28","2019-08-02"
"KW","2946","2007-12-03","2019-08-15","38","2010-05-11","2019-07-31"
"KWEB","1512","2013-08-01","2019-08-02","0","NULL","NULL"
"KWR","5440","1998-01-02","2019-08-15","41","2009-07-29","2019-08-01"
"KXIN","435","2017-11-06","2019-08-08","0","NULL","NULL"
"KYE","3288","2005-06-28","2018-07-19","0","NULL","NULL"
"KYN","3747","2004-09-28","2019-08-15","0","NULL","NULL"
"KYO","4650","2000-01-03","2018-06-28","0","NULL","NULL"
"KZIA","423","2017-11-24","2019-08-02","0","NULL","NULL"
"KZR","288","2018-06-21","2019-08-13","4","2019-02-14","2019-08-07"
"L","5440","1998-01-02","2019-08-15","42","2009-05-04","2019-08-05"
"LABL","5408","1998-01-02","2019-07-01","40","2009-05-15","2019-02-11"
"LAC","390","2018-01-25","2019-08-13","1","2019-05-15","2019-05-15"
"LACQU","404","2017-12-01","2019-08-01","0","NULL","NULL"
"LACQW","144","2018-01-05","2019-08-02","0","NULL","NULL"
"LAD","5440","1998-01-02","2019-08-15","41","2009-07-30","2019-07-24"
"LADR","1391","2014-02-06","2019-08-15","22","2014-05-05","2019-07-31"
"LAIX","220","2018-09-27","2019-08-13","2","2019-02-27","2019-05-28"
"LAKE","5431","1998-01-02","2019-08-02","40","2009-06-09","2019-06-10"
"LALT","1190","2014-05-29","2019-02-20","0","NULL","NULL"
